term_id,term_rank,term_str,n,num,stop,stem_porter,stem_snowball,stem_lancaster,pos_max,term_rank2
12193,229,mother,263,0,0,mother,mother,moth,NN,206
380,230,adrian,262,0,0,adrian,adrian,adr,NNP,207
8045,231,garth,261,0,0,garth,garth,gar,NNP,208
8147,232,get,260,0,0,get,get,get,VB,209
8612,233,half,259,0,0,half,half,half,NN,210
15974,234,right,258,0,0,right,right,right,JJ,211
12348,235,myself,258,0,1,myself,myself,myself,PRP,211
21440,236,years,258,0,0,year,year,year,NNS,211
17109,237,since,257,0,0,sinc,sinc,sint,IN,212
540,238,air,256,0,0,air,air,air,NN,213
4678,239,death,255,0,0,death,death,dea,NN,214
7093,240,far,255,0,0,far,far,far,RB,214
10614,241,knew,254,0,0,knew,knew,knew,VBD,215
20695,242,voice,252,0,0,voic,voic,voic,NN,216
6421,243,enough,248,0,0,enough,enough,enough,RB,217
7297,244,few,248,0,1,few,few,few,JJ,217
12417,245,nature,247,0,0,natur,natur,nat,NN,218
9273,246,husband,246,0,0,husband,husband,husband,NN,219
7143,247,father,246,0,0,father,father,fath,NN,219
15195,248,really,244,0,0,realli,realli,real,RB,220
8322,249,got,244,0,0,got,got,got,VBD,220
19187,250,took,242,0,0,took,took,took,VBD,221
5675,251,done,240,0,0,done,done,don,VBN,222
8806,252,heard,239,0,0,heard,heard,heard,VBD,223
8066,253,gave,239,0,0,gave,gave,gav,VBD,223
16647,254,seen,238,0,0,seen,seen,seen,VBN,224
1676,255,became,238,0,0,becam,becam,becam,VBD,224
7219,256,feel,237,0,0,feel,feel,feel,VB,225
1149,257,asked,237,0,0,ask,ask,ask,VBD,225
17514,258,sort,234,0,0,sort,sort,sort,NN,226
1857,259,best,234,0,0,best,best,best,JJS,226
10942,260,less,234,0,0,less,less,less,RBR,226
8652,261,hands,233,0,0,hand,hand,hand,NNS,227
14397,262,present,232,0,0,present,present,pres,JJ,228
13937,263,place,232,0,0,place,place,plac,NN,228
11652,264,mean,230,0,0,mean,mean,mean,VBP,229
21269,265,women,229,0,0,women,women,wom,NNS,230
16684,266,sense,228,0,0,sens,sens,sens,NN,231
17293,267,small,227,0,0,small,small,smal,JJ,232
9351,268,idris,227,0,0,idri,idri,idr,NNP,232
17579,269,speak,227,0,0,speak,speak,speak,VB,232
12881,270,oh,226,0,0,oh,oh,oh,NN,233
9387,271,im,225,0,0,im,im,im,NNP,234
12086,272,money,221,0,0,money,money,money,NN,235
4207,273,country,221,0,0,countri,countri,country,NN,235
17485,274,soon,219,0,0,soon,soon,soon,RB,236
9060,275,home,218,0,0,home,home,hom,NN,237
16357,276,sat,218,0,0,sat,sat,sat,VBD,237
21211,277,wish,217,0,0,wish,wish,wish,VBP,238
9006,278,hirst,217,0,0,hirst,hirst,hirst,NNP,238
12159,279,morning,217,0,0,morn,morn,morn,NN,238
18415,280,sure,214,0,0,sure,sure,sur,JJ,239
21448,281,yes,214,0,0,ye,yes,ye,NN,239
1723,282,began,214,0,0,began,began,beg,VBD,239
13045,283,others,213,0,0,other,other,oth,NNS,240
13607,284,perdita,212,0,0,perdita,perdita,perdit,NNP,241
8952,285,hewet,212,0,0,hewet,hewet,hewet,NNP,241
2915,286,change,212,0,0,chang,chang,chang,NN,241
5973,287,earth,212,0,0,earth,earth,ear,NN,241
21103,288,whom,210,0,1,whom,whom,whom,WP,242
6662,289,everything,210,0,0,everyth,everyth,everyth,NN,242
20613,290,vincy,209,0,0,vinci,vinci,vint,NNP,243
12627,291,nor,209,0,1,nor,nor,nor,CC,243
19163,292,told,209,0,0,told,told,told,VBD,243
640,293,alone,209,0,0,alon,alon,alon,RB,243
14271,294,power,208,0,0,power,power,pow,NN,244
12876,295,often,207,0,0,often,often,oft,RB,245
3070,296,children,205,0,0,children,children,childr,NNS,246
10678,297,ladislaw,205,0,0,ladislaw,ladislaw,ladislaw,NNP,246
11851,298,middlemarch,205,0,0,middlemarch,middlemarch,middlemarch,NNP,246
18628,299,taken,205,0,0,taken,taken,tak,VBN,246
9185,300,however,201,0,0,howev,howev,howev,NN,247
8968,301,high,199,0,0,high,high,high,JJ,248
10359,302,james,199,0,0,jame,jame,jam,NNP,248
6166,303,else,198,0,0,els,els,els,RB,249
18636,304,talk,198,0,0,talk,talk,talk,NN,249
15177,305,read,197,0,0,read,read,read,VB,250
9211,306,human,197,0,0,human,human,hum,JJ,250
2584,307,called,197,0,0,call,call,cal,VBN,250
19155,308,together,197,0,0,togeth,togeth,togeth,RB,250
19050,309,thus,196,0,0,thu,thus,thu,RB,251
2168,310,both,196,0,1,both,both,both,DT,251
2842,311,celia,196,0,0,celia,celia,cel,NNP,251
653,312,also,195,0,0,also,also,also,RB,252
8306,313,gone,194,0,0,gone,gone,gon,VBN,253
7070,314,family,194,0,0,famili,famili,famy,NN,253
3986,315,continued,192,0,0,continu,continu,continu,VBD,254
11414,316,making,192,0,0,make,make,mak,VBG,254
4648,317,days,190,0,0,day,day,day,NNS,255
21097,318,whole,189,0,0,whole,whole,whol,JJ,256
17685,319,spoke,188,0,0,spoke,spoke,spok,VBD,257
16565,320,sea,187,0,0,sea,sea,sea,NN,258
7183,321,fear,186,0,0,fear,fear,fear,NN,259
6373,322,england,186,0,0,england,england,england,NNP,259
18882,323,themselves,186,0,1,themselv,themselv,themselv,PRP,259
9704,324,indeed,186,0,0,inde,inde,indee,RB,259
2694,325,care,185,0,0,care,care,car,NN,260
6321,326,end,182,0,0,end,end,end,NN,261
651,327,already,182,0,0,alreadi,alreadi,already,RB,261
13403,328,passed,182,0,0,pass,pass,pass,VBD,261
17989,329,stood,182,0,0,stood,stood,stood,VBD,261
7238,330,fellow,182,0,0,fellow,fellow,fellow,NN,261
6451,331,entered,181,0,0,enter,enter,ent,VBD,262
21130,332,wife,180,0,0,wife,wife,wif,NN,263
1684,333,become,179,0,0,becom,becom,becom,VBN,264
21045,334,whether,176,0,0,whether,whether,wheth,IN,265
1769,335,believe,176,0,0,believ,believ,believ,VBP,265
8805,336,hear,175,0,0,hear,hear,hear,VB,266
2870,337,certain,174,0,0,certain,certain,certain,JJ,267
7096,338,farebrother,173,0,0,farebroth,farebroth,farebroth,NNP,268
9363,339,ill,172,0,0,ill,ill,il,JJ,269
7842,340,friend,172,0,0,friend,friend,friend,NN,269
16761,341,set,171,0,0,set,set,set,VBN,270
12371,342,name,171,0,0,name,name,nam,NN,270
8677,343,happy,171,0,0,happi,happi,happy,JJ,270
19178,344,tone,170,0,0,tone,tone,ton,NN,271
11537,345,marriage,170,0,0,marriag,marriag,marry,NN,271
18601,346,table,169,0,0,tabl,tabl,tabl,NN,272
14972,347,question,169,0,0,question,question,quest,NN,272
296,348,added,168,0,0,ad,ad,ad,VBD,273
18398,349,suppose,168,0,0,suppos,suppos,suppos,VBP,273
12931,350,open,168,0,0,open,open,op,JJ,273
15210,351,reason,168,0,0,reason,reason,reason,NN,273
4609,352,dark,168,0,0,dark,dark,dark,JJ,273
2386,353,brought,168,0,0,brought,brought,brought,VBN,273
19510,354,true,168,0,0,true,true,tru,JJ,273
20342,355,usual,167,0,0,usual,usual,us,JJ,274
10838,356,lay,167,0,0,lay,lay,lay,VBD,274
8196,357,given,167,0,0,given,given,giv,VBN,274
21234,358,within,167,0,0,within,within,within,IN,274
8688,359,hardly,165,0,0,hardli,hard,hard,RB,275
5684,360,door,165,0,0,door,door,door,NN,275
12436,361,near,164,0,0,near,near,near,IN,276
10885,362,leave,164,0,0,leav,leav,leav,VB,276
10883,363,least,162,0,0,least,least,least,JJS,277
17143,364,sister,162,0,0,sister,sister,sist,NN,277
8884,365,help,162,0,0,help,help,help,VB,277
6992,366,fact,161,0,0,fact,fact,fact,NN,278
10757,367,large,161,0,0,larg,larg,larg,JJ,278
17656,368,spirit,161,0,0,spirit,spirit,spirit,NN,278
634,369,almost,160,0,0,almost,almost,almost,RB,279
11173,370,london,160,0,0,london,london,london,NNP,279
2871,371,certainly,159,0,0,certainli,certain,certain,RB,280
7847,372,friends,158,0,0,friend,friend,friend,NNS,281
19004,373,three,158,0,0,three,three,three,CD,281
6645,374,evening,158,0,0,even,even,ev,NN,281
918,375,appeared,157,0,0,appear,appear,appear,VBD,282
11217,376,lost,156,0,0,lost,lost,lost,VBN,283
20225,377,until,156,0,1,until,until,until,IN,283
16661,378,self,156,0,0,self,self,self,NN,283
5639,379,does,156,0,1,doe,doe,doe,VBZ,283
18867,380,thats,156,0,0,that,that,that,NN,283
7365,381,fine,154,0,0,fine,fine,fin,JJ,284
16111,382,rose,154,0,0,rose,rose,ros,VBD,284
17520,383,soul,154,0,0,soul,soul,soul,NN,284
3516,384,coming,153,0,0,come,come,com,VBG,285
7915,385,full,153,0,0,full,full,ful,JJ,285
14107,386,point,153,0,0,point,point,point,NN,285
10681,387,lady,153,0,0,ladi,ladi,lady,NN,285
19084,388,till,153,0,0,till,till,til,NN,285
10634,389,knowledge,152,0,0,knowledg,knowledg,knowledg,NN,286
106,390,above,152,0,1,abov,abov,abov,IN,286
18986,391,thoughts,152,0,0,thought,thought,thought,NNS,286
17469,392,sometimes,151,0,0,sometim,sometim,sometim,RB,287
2647,393,cant,151,0,0,cant,cant,cant,VBP,287
8186,394,girl,151,0,0,girl,girl,girl,NN,287
20331,395,use,151,0,0,use,use,us,NN,287
10720,396,land,151,0,0,land,land,land,NN,287
15843,397,return,150,0,0,return,return,return,NN,288
18195,398,subject,150,0,0,subject,subject,subject,NN,288
19402,399,trees,149,0,0,tree,tree,tre,NNS,289
13050,400,ought,149,0,0,ought,ought,ought,MD,289
10338,401,itself,148,0,1,itself,itself,itself,PRP,290
17841,402,state,148,0,0,state,state,stat,NN,290
2380,403,brother,147,0,0,brother,brother,broth,NN,291
16398,404,saying,147,0,0,say,say,say,VBG,291
2583,405,call,147,0,0,call,call,cal,VB,291
18944,406,thinking,146,0,0,think,think,think,VBG,292
2578,407,caleb,145,0,0,caleb,caleb,caleb,NNP,293
21298,408,word,145,0,0,word,word,word,NN,293
10538,409,keep,144,0,0,keep,keep,keep,VB,294
9162,410,hour,144,0,0,hour,hour,hour,NN,294
13417,411,past,144,0,0,past,past,past,JJ,294
10341,412,ive,143,0,0,ive,ive,iv,NNP,295
2502,413,business,142,0,0,busi,busi,busy,NN,296
17072,414,silence,142,0,0,silenc,silenc,sil,NN,296
20826,415,wanted,142,0,0,want,want,want,VBD,296
4766,416,deep,141,0,0,deep,deep,deep,JJ,297
19264,417,town,141,0,0,town,town,town,NN,297
19574,418,turn,141,0,0,turn,turn,turn,VB,297
1752,419,behind,141,0,0,behind,behind,behind,IN,297
12539,420,next,140,0,0,next,next,next,JJ,298
13680,421,person,139,0,0,person,person,person,NN,299
15630,422,replied,138,0,0,repli,repli,reply,VBD,300
4655,423,dead,138,0,0,dead,dead,dead,JJ,300
11256,424,lowick,138,0,0,lowick,lowick,lowick,NNP,300
14225,425,possible,137,0,0,possibl,possibl,poss,JJ,301
6717,426,except,136,0,0,except,except,exceiv,IN,302
12946,427,opinion,136,0,0,opinion,opinion,opin,NN,302
15186,428,ready,136,0,0,readi,readi,ready,JJ,302
18272,429,suddenly,136,0,0,suddenli,sudden,sud,RB,302
8288,430,god,136,0,0,god,god,god,NNP,302
3062,431,child,136,0,0,child,child,child,NN,302
9326,432,idea,135,0,0,idea,idea,ide,NN,303
15775,433,rest,134,0,0,rest,rest,rest,NN,304
10096,434,interest,134,0,0,interest,interest,interest,NN,304
14028,435,pleasure,133,0,0,pleasur,pleasur,pleas,NN,305
21084,436,white,133,0,0,white,white,whit,JJ,305
11181,437,longer,133,0,0,longer,longer,long,RBR,305
11113,438,live,133,0,0,live,live,liv,VB,305
19751,439,uncle,133,0,0,uncl,uncl,unc,NN,305
12313,440,music,132,0,0,music,music,mus,NN,306
12991,441,order,132,0,0,order,order,ord,NN,306
20332,442,used,132,0,0,use,use,us,VBD,306
18630,443,taking,131,0,0,take,take,tak,VBG,307
18336,444,sun,131,0,0,sun,sun,sun,NN,307
18906,445,theres,130,0,0,there,there,ther,VB,308
8492,446,ground,130,0,0,ground,ground,ground,NN,308
8873,447,held,130,0,0,held,held,held,VBD,308
13944,448,plague,129,0,0,plagu,plagu,plagu,NN,309
20590,449,view,129,0,0,view,view,view,NN,309
7234,450,fell,129,0,0,fell,fell,fel,VBD,309
15844,451,returned,129,0,0,return,return,return,VBD,309
5915,452,during,129,0,1,dure,dure,dur,IN,309
9129,453,horse,128,0,0,hors,hors,hors,NN,310
11206,454,lord,128,0,0,lord,lord,lord,NNP,310
1463,455,bad,126,0,0,bad,bad,bad,JJ,311
18127,456,strong,126,0,0,strong,strong,strong,JJ,311
21272,457,wonder,126,0,0,wonder,wonder,wond,NN,311
10956,458,letter,126,0,0,letter,letter,let,NN,311
12915,459,ones,125,0,0,one,one,on,JJ,312
16636,460,seeing,125,0,0,see,see,see,VBG,312
19576,461,turning,125,0,0,turn,turn,turn,VBG,312
18717,462,tears,125,0,0,tear,tear,tear,NNS,312
1672,463,beauty,124,0,0,beauti,beauti,beauty,NN,313
11615,464,matter,124,0,0,matter,matter,mat,NN,313
2135,465,book,123,0,0,book,book,book,NN,314
19095,466,times,123,0,0,time,time,tim,NNS,314
21178,467,windsor,122,0,0,windsor,windsor,winds,NNP,315
7701,468,form,122,0,0,form,form,form,NN,315
4665,469,deal,122,0,0,deal,deal,deal,NN,315
21212,470,wished,122,0,0,wish,wish,wish,VBD,315
6376,471,english,121,0,0,english,english,engl,NNP,316
6740,472,exclaimed,121,0,0,exclaim,exclaim,exclaim,VBD,316
5209,473,different,121,0,0,differ,differ,diff,JJ,316
1148,474,ask,121,0,0,ask,ask,ask,VB,316
6095,475,either,121,0,0,either,either,eith,CC,316
12462,476,need,120,0,0,need,need,nee,NN,317
3428,477,cold,120,0,0,cold,cold,cold,JJ,317
7969,478,future,120,0,0,futur,futur,fut,NN,317
11811,479,met,120,0,0,met,met,met,VBD,317
4352,480,cried,119,0,0,cri,cri,cri,VBD,318
19819,481,understand,119,0,0,understand,understand,understand,VB,318
10021,482,instead,119,0,0,instead,instead,instead,RB,318
8684,483,hard,119,0,0,hard,hard,hard,JJ,318
827,484,answer,118,0,0,answer,answer,answ,NN,319
11083,485,lips,118,0,0,lip,lip,lip,NNS,319
10550,486,kept,118,0,0,kept,kept,kept,VBD,319
18037,487,strange,118,0,0,strang,strang,strange,JJ,319
8080,488,general,117,0,0,gener,general,gen,JJ,320
11124,489,living,117,0,0,live,live,liv,NN,320
8605,490,hair,117,0,0,hair,hair,hair,NN,320
11543,491,marry,117,0,0,marri,marri,marry,VB,320
2641,492,cannot,116,0,0,cannot,cannot,cannot,VBP,321
8676,493,happiness,116,0,0,happi,happi,happy,NN,321
1053,494,arm,115,0,0,arm,arm,arm,NN,322
7738,495,forward,115,0,0,forward,forward,forward,RB,322
19528,496,truth,114,0,0,truth,truth,tru,NN,323
17075,497,silent,114,0,0,silent,silent,sil,JJ,323
2755,498,case,114,0,0,case,case,cas,NN,323
10635,499,known,114,0,0,known,known,known,VBN,323
11662,500,means,114,0,0,mean,mean,mean,NNS,323
17583,501,speaking,114,0,0,speak,speak,speak,VBG,323
9420,502,immediately,114,0,0,immedi,immedi,immedy,RB,323
20889,503,water,113,0,0,water,water,wat,NN,324
7201,504,featherstone,113,0,0,featherston,featherston,featherston,NNP,324
2890,505,chair,112,0,0,chair,chair,chair,NN,325
11540,506,married,110,0,0,marri,marri,marry,VBN,326
16646,507,seems,110,0,0,seem,seem,seem,VBZ,326
21174,508,window,110,0,0,window,window,window,NN,326
15046,509,raffles,110,0,0,raffl,raffl,raffl,NNP,326
